DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NC)C(=O)C=C,7.770095513701154,62.300000000000004,351.4500000000001,3.3854000000000015,1,3,5,2,12,3,25,21,3,2,0
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCCSC)C(=O)C=C,7.8636306014234,62.300000000000004,425.59800000000024,4.508700000000003,1,4,9,2,16,3,31,24,3,2,0
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCSC)C(=O)C=C,7.184242839673249,62.300000000000004,411.5710000000002,4.1186000000000025,1,4,8,2,15,3,29,23,3,2,0
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)C=C,8.47381271012418,62.300000000000004,459.5650000000002,5.137400000000005,1,3,8,3,15,3,30,28,3,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4c[nH]cn4,8.978989195374377,90.98,499.5900000000002,4.988300000000003,2,4,8,4,15,2,30,29,5,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4c[nH]nc4,8.315559791426226,90.98,499.5900000000002,4.988300000000003,2,4,8,4,15,2,30,29,5,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccc(o4)Cl,9.28843525323754,75.44,534.0310000000003,6.511600000000006,1,4,8,4,16,2,29,30,3,3,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cccnc4,7.00436480540245,75.19,510.6130000000002,5.660200000000005,1,4,8,4,15,2,31,31,4,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccco4,9.34431624265052,75.44,499.58600000000024,5.858200000000005,1,4,8,4,15,2,30,30,3,3,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCc3ccc(cc3)F)C(=O)C=C,7.9785404402107964,62.300000000000004,445.5380000000002,5.094900000000004,1,3,7,3,14,3,28,27,3,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCc3ccccc3)C(=O)C=C,7.844213566835672,62.300000000000004,427.5480000000002,4.9558000000000035,1,3,7,3,13,3,29,27,3,2,0
CC(C)(C)c1ccc(cc1)N(C(c2cccnc2)C(=O)Nc3ccc4c(c3)OCO4)C(=O)C=C,7.207216483672664,80.76000000000002,457.53000000000026,5.006800000000004,1,5,6,3,16,3,27,27,3,4,0
CC(C)(C)c1ccc(cc1)N([C@@H](c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)C=C,8.526399387453877,62.300000000000004,459.5650000000002,5.137400000000005,1,3,8,3,15,3,30,28,3,2,1
CC(C)(C)c1ccc(cc1)N([C@@H](c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccco4,9.38258674414759,75.44,499.58600000000024,5.858200000000005,1,4,8,4,15,2,30,30,3,3,1
CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)C=C,7.098308622523987,62.300000000000004,459.5650000000002,5.137400000000005,1,3,8,3,15,3,30,28,3,2,1
CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccco4,7.839608323059013,75.44,499.58600000000024,5.858200000000005,1,4,8,4,15,2,30,30,3,3,1
CC(C)(C)c1ccc(cc1)c2nnc(o2)Sc3cnc(s3)[N+](=O)[O-],9.784606035386425,94.95,362.43600000000004,4.5500000000000025,0,8,4,3,9,1,14,15,4,3,0
CC(C)CCN1c2ccc(cc2C(=O)C1=O)Br,7.61477637101973,37.38,296.164,3.0245000000000015,0,2,3,1,10,2,14,13,1,2,0
CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCc2ccccc2,10.587378985240786,171.12999999999997,485.55900000000014,0.5447000000000037,5,7,11,1,23,5,31,21,3,8,0
CC(C)C[C@@H]1CN(CCN1Cc2cccc(c2)Cl)C(=O)CCl,9.28843337299003,23.55,343.2980000000001,3.6377000000000024,0,2,5,1,16,1,24,17,2,1,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)N3CCC(C3)c4ccccc4,7.00436480540245,54.34,389.49900000000014,4.678900000000004,1,3,4,3,13,2,27,24,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)N3CCC(CC3)Cc4ccccc4,7.00436480540245,54.34,417.5530000000002,5.144100000000004,1,3,5,3,15,2,31,26,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NC3CCCCCC3,7.00436480540245,63.13,355.4820000000002,4.501800000000003,2,3,4,2,15,2,29,21,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NC3CCCc4c3cccc4,7.00436480540245,63.13,389.49900000000014,4.856600000000003,2,3,4,3,13,2,27,24,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCC3CCCO3,7.00436480540245,72.36,343.42700000000013,2.958000000000001,2,4,5,2,14,2,25,19,3,3,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCC3=CCCCC3,7.00436480540245,63.13,367.4930000000002,4.669500000000003,2,3,6,2,15,3,29,22,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCCN3CCCC3=O,7.00436480540245,83.44,384.48000000000025,2.791500000000001,2,4,7,2,16,3,28,21,4,3,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCN3CCOCC3,7.00436480540245,75.60000000000001,372.4690000000002,2.1111999999999993,2,5,6,2,16,2,28,20,4,3,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3c[nH]c4c3cccc4,7.00436480540245,78.92,402.4980000000001,4.503000000000003,3,3,6,4,10,2,26,24,4,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3cc(ccc3OC)OC,7.00436480540245,81.59,423.5130000000002,4.038900000000002,2,5,8,3,14,2,29,24,3,4,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3ccc(cc3)Cl,7.017969089132124,63.13,397.90600000000006,4.675100000000003,2,3,6,3,11,2,24,22,3,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCc3cc(ccc3OC)OC,7.00436480540245,81.59,409.48600000000016,3.996400000000002,2,5,7,3,13,2,27,23,3,4,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCc3ccc4c(c3)OCO4,7.00436480540245,81.59,393.44300000000015,3.7079000000000013,2,5,5,3,13,2,23,22,3,4,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3cccnc3,7.00436480540245,76.02000000000001,336.395,3.6965000000000012,2,4,4,3,8,2,20,19,4,2,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3ccsc3C(=O)OC,7.00436480540245,89.43,399.4720000000001,4.149600000000002,2,6,5,3,11,3,21,20,3,4,0
