DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N3CCC4(CC3)OCCO4)cc2C)c(O)c1,-9.7,59.0,421.537,4.86528,1,5,9,2,51,2,31,26,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=O)cc2C)c(O)c1,-7.1,54.37,308.377,4.33448,1,3,9,2,29,3,20,20,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)(CF)c3ccccc3)cc2C)c(O)c1,-8.7,61.09,427.519,6.30116,1,3,11,3,39,2,26,28,1,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(NCCC(=O)O)cc2C)c(O)c1,-8.9,86.63,367.445,4.40858,3,5,12,2,38,3,25,22,1,4,0
COC(=O)CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.9,63.6,366.457,4.62758,1,4,12,2,39,3,26,23,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(C#CCN=Cc4ccc(O)c(O)c4)cc3)cc2C)c(O)c1,-9.7,90.12,555.674,7.57418,3,5,14,4,49,4,33,37,1,4,0
CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.0,37.3,308.421,5.08438,1,2,10,2,34,2,24,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)CO)cc2C)c(O)c1,-7.7,81.32,349.43,4.12146,2,4,11,2,35,2,23,22,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(O)cc3)cc2C)c(O)c1,-9.4,57.53,398.502,6.39798,2,3,11,3,37,3,26,27,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(NCC(O)CO)cc2C)c(O)c1,-7.9,89.79,369.461,3.28708,4,5,14,2,41,2,27,22,1,4,0
Cc1cc(C)cc(C=Cc2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)c1,-9.9,37.3,410.557,7.30922,1,2,12,3,42,3,30,29,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3)cc2C(F)(F)F)c(O)c1,-9.0,37.3,410.435,6.89936,1,2,8,3,33,2,21,25,0,2,3
Cc1cc(-c2ccccc2)cc(C)c1C=CC(=O)c1c(C)cc(-c2ccccc2)cc1O,-10.5,37.3,418.536,7.54756,1,2,9,4,35,2,26,30,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C#Cc3ccccc3)cc2C)c(O)c1,-9.4,37.3,380.487,5.92178,1,2,8,3,34,2,24,27,0,2,0
CCOCC#Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.1,46.53,362.469,4.90998,1,3,11,2,39,2,26,24,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc4c(c3)NC(=O)C(C)(C)O4)cc2C)c(O)c1,-9.8,75.63,455.554,6.29848,2,4,11,3,45,3,29,29,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(NCC(=O)O)cc2C)c(O)c1,-8.1,86.63,353.418,4.01848,3,5,11,2,35,3,23,21,1,4,0
C#CC=Cc1cccc(-c2cc(C)cc(C)c2C=CC(=O)c2c(C)cc(C)cc2O)c1C,-7.8,37.3,420.552,7.1438,1,2,11,3,40,3,28,30,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N(CC#N)c3ccc(Cl)cc3)cc2C)c(O)c1,-8.7,64.33,444.962,6.83706,1,4,11,3,38,2,25,27,2,2,0
CCOC(=O)C=Cc1ccccc1-c1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.2,63.6,454.566,6.76528,1,4,13,3,44,4,30,30,0,4,0
C#Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.1,37.3,304.389,4.50328,1,2,8,2,29,2,20,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(F)(F)F)cc2C(F)(F)F)c(O)c1,-8.6,37.3,402.334,6.25116,1,2,7,2,31,2,16,20,0,2,6
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3c(F)cccc3F)cc2C)c(O)c1,-9.5,37.3,392.445,6.46718,1,2,9,3,33,2,22,25,0,2,2
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(Nc3ccc(Cl)cc3Cl)cc2C)c(O)c1,-9.7,49.33,440.37,7.57238,2,3,10,3,35,2,23,25,1,2,0
